14:13:33;Tu=75.38;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.68
14:14:02;Tu=75.38;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.67
14:14:32;Tu=75.38;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.67
14:15:03;Tu=75.38;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.67
14:15:32;Tu=75.38;Tm=76.94;Td=77.38;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.67
14:16:02;Tu=75.38;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.67
14:16:33;Tu=75.38;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.67
14:17:03;Tu=75.38;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.65
14:17:33;Tu=75.38;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.66
14:18:02;Tu=75.38;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.66
14:18:32;Tu=75.38;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.66
14:19:03;Tu=75.38;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.66
14:19:32;Tu=75.38;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.65
14:20:02;Tu=75.44;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.65
14:20:33;Tu=75.38;Tm=76.94;Td=77.44;Tc=0.00;Tdif=76.94;Tj=0.00;To=0.00;Tj=761.65
14:21:02;Tu=75.38;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.65
14:21:32;Tu=75.38;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.65
14:22:03;Tu=75.31;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.64
14:22:33;Tu=75.31;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.64
14:23:03;Tu=75.31;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.64
14:23:32;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.64
14:24:02;Tu=75.25;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.64
14:24:33;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.64
14:25:03;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.64
14:25:33;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.64
14:26:02;Tu=75.19;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.63
14:26:33;Tu=75.25;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.63
14:27:03;Tu=75.25;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.63
14:27:33;Tu=75.25;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.62
14:28:03;Tu=75.25;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.62
14:28:33;Tu=75.25;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.62
14:29:03;Tu=75.31;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.61
14:29:33;Tu=75.31;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.61
14:30:03;Tu=75.31;Tm=76.81;Td=77.38;Tc=0.00;Tdif=76.81;Tj=0.00;To=0.00;Tj=761.60
14:30:33;Tu=75.25;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.60
14:31:02;Tu=75.25;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.59
14:31:32;Tu=75.25;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.58
14:32:03;Tu=75.25;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.58
14:32:33;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.58
14:33:03;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.58
14:33:32;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.58
14:34:02;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.58
14:34:33;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.58
14:35:02;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.57
14:35:32;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.58
14:36:03;Tu=75.25;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.57
